size,RMSE,Rsquared,MAE
50,3.247301,0.09744293,2.001446
100,3.430796,0.07050887,2.223873
150,3.295282,0.06496756,2.029758
200,3.519085,0.05751072,2.220108
250,3.637963,0.04953184,2.391946
300,3.698653,0.06030002,2.419059
350,4.005306,0.04714086,2.659049
400,4.028543,0.04650620,2.702031
450,4.032267,0.03911726,2.707747
500,4.144819,0.04037152,2.840717
550,4.130271,0.06862467,2.813594
600,4.116930,0.03630766,2.815633
650,4.224657,0.03483611,2.890096
700,4.167727,0.04425239,2.856386
750,4.081489,0.04259488,2.762473
800,4.218245,0.04093602,2.923042
850,4.157885,0.05039446,2.827147
900,4.169027,0.04265239,2.879635
950,4.183848,0.04519063,2.875385
1000,4.077585,0.03719369,2.767045
